Titulo,URL,Fecha
"Robotic Process Automation: Guide To Building Software Robots, Automate Repetitive Tasks & Become An RPA Consultant",/-/es/Richard-Murdoch/dp/1983036838/ref=sr_1_24?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-24,30 mayo 2018
Robotic Process Automation with Blue Prism Quick Start Guide: Create software robots and automate business processes,/-/es/Lim-Mei-Ying/dp/1789610443/ref=sr_1_25?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-25,30 noviembre 2018
The Smarthome Book: Simple ideas to assist with your smarthome renovation,/-/es/Andrew-Howe-ebook/dp/B07JC7V6BH/ref=sr_1_26?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-26,
The Savvy Entrepreneur's Business Automation Guide: The Key to Working Smarter Not Harder,/-/es/Rob-Masterton-ebook/dp/B07ZT7KJCC/ref=sr_1_27?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-27,
"The Technology Trap: Capital, Labor, and Power in the Age of Automation",/-/es/Carl-Benedikt-Frey/dp/069117279X/ref=sr_1_28?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-28,18 junio 2019
Artificial Intelligence: Learning automation skills with Python (2 books in 1: Artificial Intelligence a modern approach & Artificial Intelligence business applications),/-/es/Chris-Baker-ebook/dp/B07XVSBGKW/ref=sr_1_29?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-29,
"Ansible 2 Cloud Automation Cookbook: Write Ansible playbooks for AWS, Google Cloud, Microsoft Azure, and OpenStack",/-/es/Aditya-Patawari/dp/178829582X/ref=sr_1_30?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-30,28 febrero 2018
"CONTROL VALVE HANDBOOK (Fisher, Emerson Automation Solutions) 5th Edition",/-/es/Fisher-Controls-International-LLC/dp/B07942RN5H/ref=sr_1_31?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-31,1 enero 2017
Learning Chef: A Guide to Configuration Management and Automation,/-/es/Mischa-Taylor-ebook/dp/B00PCZMAV0/ref=sr_1_32?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-32,
"MASTERING ONLINE MARKETING - Create business success through content marketing, lead generation, and marketing automation.: Learn email marketing, search ... and Entrepreneurship Series Book 1)",/-/es/Magnus-Unemyr-ebook/dp/B0154B2FL6/ref=sr_1_33?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-33,
